X,Y,fid,ID_NUMBER,FACILITY_NAME,ACTIVITY_LOCATION,FULL_ENFORCEMENT,HREPORT_UNIVERSE_RECORD,STREET_ADDRESS,CITY_NAME,STATE_CODE,ZIP_CODE,LATITUDE83,LONGITUDE83,FED_WASTE_GENERATOR,TRANSPORTER,ACTIVE_SITE,OPERATING_TSDF
999717.222478764,199151.321240087,854757,NYP004829945,CON EDISON,NY,------,Other,305 GRAHAM AVE,BROOKLYN,NY,"11211",40.713287,-73.944207,N  ,N  ,-----,------         
1000529.27544554,198653.084335855,856864,NYP004775003,CON EDISON,NY,------,Other,799 GRAND ST,BROOKLYN,NY,"11215",40.711918,-73.941279,N  ,N  ,-----,------         
998792.792148042,198953.280975487,860586,NYP005087972,CON EDISON - MANHOLE 55017,NY,------,Other,64 AINSLIE ST,BROOKLYN,NY,"11211",40.712745,-73.947542,N  ,N  ,-----,------         
999294.861438728,198939.378820833,861782,NYP004829226,CON EDISON,NY,------,Other,270 MANHATTAN AVE,BROOKLYN,NY,"11206",40.712706,-73.945731,N  ,N  ,-----,------         
1001968.26058401,199583.138328499,862997,NYP004828283,CON EDISON,NY,------,Other,1002 METROPOLITAN AVE,BROOKLYN,NY,"11238",40.714468,-73.936086,N  ,N  ,-----,------         
1009689.43036688,198525.073461357,439587,NYP004507745,CON EDISON SERVICE BOX: 59237,NY,------,Other,2142 HIMROD ST,RIDGEWOOD,NY,"11385",40.711545,-73.908238,N  ,N  ,-----,------         
1009689.43036688,198525.073461357,449828,NYP004495115,CON EDISON SERVICE BOX: 59237,NY,------,Other,2142 HIMROD ST,RIDGEWOOD,NY,"11385",40.711545,-73.908238,N  ,N  ,-----,------         
1010073.54407572,198648.987777586,424960,NYP004509196,CON EDISON SERVICE BOX: 9526,NY,------,Other,2235 HARMON ST FRONT OF,RIDGEWOOD,NY,"11385",40.711884,-73.906852,N  ,N  ,-----,------         
1010257.3923647,198867.054257092,410995,NYP004733440,CON EDISON,NY,------,Other,2247 HARMAN ST,RIDGEWOOD,NY,"11385",40.712482,-73.906188,N  ,N  ,-----,------         
1010376.42828461,199027.487907162,429316,NYP004438719,CON EDISON SERVICE BOX: 11403,NY,------,Other,58-03 METROPOLITAN AVE,RIDGEWOOD,NY,"11385",40.712922,-73.905758,N  ,N  ,-----,------         
1009445.07567663,199433.459921376,328283,NYP004345641,CON EDISON SERVICE BOX: 28907,NY,------,Other,61-16 55TH ST,MASPETH,NY,"11378",40.714039,-73.909116,N  ,N  ,-----,------         
1010374.39582378,199627.539045698,336354,NY0000445668,NYCDOT BRIDGE BIN 2247540,NY,------,Other,60TH ST OVER LIRR MONTAUK,MASPETH,NY,"11378",40.714569,-73.905763,N  ,N  ,-----,------         
